SNOMEDCode,description
'321153009,Temazepam 20mg tablets
'1227811000001109,Temazepam 20mg tablets
'1118111000001109,Temazepam 20mg tablets
'1130911000001100,Temazepam 20mg tablets
'415711000001104,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd)
'1521211000001106,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd)
'1521411000001105,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd)
'1521511000001109,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd)
'185311000001100,Temazepam 20mg tablets (Actavis UK Ltd)
'3960111000001100,Temazepam 20mg tablets (Actavis UK Ltd)
'1521711000001104,Temazepam 20mg tablets (Actavis UK Ltd)
'616211000001103,Temazepam 20mg tablets (Teva UK Ltd)
'1521911000001102,Temazepam 20mg tablets (Teva UK Ltd)
'10650311000001107,Temazepam 20mg tablets (Teva UK Ltd)
'305511000001104,Temazepam 20mg tablets (The Boots Company Plc)
'1522011000001109,Temazepam 20mg tablets (The Boots Company Plc)
'377911000001108,Temazepam 20mg tablets (Mylan)
'15023411000001105,Temazepam 20mg tablets (Mylan)
'1522211000001104,Temazepam 20mg tablets (Mylan)
'473511000001104,Temazepam 20mg tablets (Genus Pharmaceuticals Ltd)
'1522511000001101,Temazepam 20mg tablets (Genus Pharmaceuticals Ltd)
'730411000001100,Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd)
'1522611000001102,Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd)
'1522811000001103,Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd)
'58411000001102,Temazepam 20mg tablets (Kent Pharmaceuticals Ltd)
'4744011000001108,Temazepam 20mg tablets (Kent Pharmaceuticals Ltd)
'1523111000001104,Temazepam 20mg tablets (Kent Pharmaceuticals Ltd)
'267711000001107,Temazepam 20mg tablets (Sandoz Ltd)
'1523211000001105,Temazepam 20mg tablets (Sandoz Ltd)
'1523311000001102,Temazepam 20mg tablets (Sandoz Ltd)
'426511000001108,Temazepam 20mg tablets (Alliance Healthcare (Distribution) Ltd)
'1523411000001109,Temazepam 20mg tablets (Alliance Healthcare (Distribution) Ltd)
'1523611000001107,Temazepam 20mg tablets (Alliance Healthcare (Distribution) Ltd)
'15228811000001106,Temazepam 20mg tablets (Sigma Pharmaceuticals Plc)
'15228911000001101,Temazepam 20mg tablets (Sigma Pharmaceuticals Plc)
'17812511000001106,Temazepam 20mg tablets (Phoenix Healthcare Distribution Ltd)
'17812711000001101,Temazepam 20mg tablets (Phoenix Healthcare Distribution Ltd)
'17812911000001104,Temazepam 20mg tablets (Phoenix Healthcare Distribution Ltd)
'21772311000001107,Temazepam 20mg tablets (Mawdsley-Brooks & Company Ltd)
'21772411000001100,Temazepam 20mg tablets (Mawdsley-Brooks & Company Ltd)
'21860211000001107,Temazepam 20mg tablets (Mawdsley-Brooks & Company Ltd)
'21785511000001100,Temazepam 20mg tablets (Waymade Healthcare Plc)
'21785611000001101,Temazepam 20mg tablets (Waymade Healthcare Plc)
'21785711000001105,Temazepam 20mg tablets (Waymade Healthcare Plc)
'21789511000001102,Temazepam 20mg tablets (DE Pharmaceuticals)
'21789911000001109,Temazepam 20mg tablets (DE Pharmaceuticals)
'21790311000001103,Temazepam 20mg tablets (DE Pharmaceuticals)
'21795611000001100,Temazepam 20mg tablets (Ethigen Ltd)
'21795711000001109,Temazepam 20mg tablets (Ethigen Ltd)
'21905211000001108,Temazepam 20mg tablets (Ethigen Ltd)
'21856111000001105,Temazepam 20mg tablets (Cavendish Pharmaceuticals Ltd)
'21856211000001104,Temazepam 20mg tablets (Cavendish Pharmaceuticals Ltd)
'21856311000001107,Temazepam 20mg tablets (Cavendish Pharmaceuticals Ltd)
'21905611000001105,Temazepam 20mg tablets (National Generics)
'21905711000001101,Temazepam 20mg tablets (National Generics)
'21905811000001109,Temazepam 20mg tablets (National Generics)
'22066811000001105,Temazepam 20mg tablets (F.Maltby & Sons Ltd)
'22066911000001100,Temazepam 20mg tablets (F.Maltby & Sons Ltd)
'22067011000001101,Temazepam 20mg tablets (F.Maltby & Sons Ltd)
'22067411000001105,Temazepam 20mg tablets (B&S Healthcare Ltd)
'22067511000001109,Temazepam 20mg tablets (B&S Healthcare Ltd)
'22067611000001108,Temazepam 20mg tablets (B&S Healthcare Ltd)
'22068011000001100,Temazepam 20mg tablets (Norchem Ltd)
'22068111000001104,Temazepam 20mg tablets (Norchem Ltd)
'22068211000001105,Temazepam 20mg tablets (Norchem Ltd)
'34954411000001107,Temazepam 20mg tablets (Almus Pharmaceuticals Ltd)
'34954511000001106,Temazepam 20mg tablets (Almus Pharmaceuticals Ltd)
'321294008,Lorazepam 1mg tablets
'1114711000001102,Lorazepam 1mg tablets
'10545111000001106,Lorazepam 1mg tablets
'15171011000001108,Lorazepam 1mg tablets
'15171111000001109,Lorazepam 1mg tablets
'15473311000001108,Lorazepam 1mg tablets
'295711000001104,Lorazepam 1mg tablets (A A H Pharmaceuticals Ltd)
'1855511000001105,Lorazepam 1mg tablets (A A H Pharmaceuticals Ltd)
'917211000001100,Lorazepam 1mg tablets (Genus Pharmaceuticals Ltd)
'1856511000001103,Lorazepam 1mg tablets (Genus Pharmaceuticals Ltd)
'842411000001101,Lorazepam 1mg tablets (Teva UK Ltd)
'1856911000001105,Lorazepam 1mg tablets (Teva UK Ltd)
'701811000001103,Lorazepam 1mg tablets (Kent Pharmaceuticals Ltd)
'1857411000001100,Lorazepam 1mg tablets (Kent Pharmaceuticals Ltd)
'814311000001105,Lorazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'1857811000001103,Lorazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'15473411000001101,Lorazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'9480811000001109,Lorazepam 1mg tablets (Mylan)
'9481011000001107,Lorazepam 1mg tablets (Mylan)
'10387311000001105,Lorazepam 1mg tablets (Arrow Generics Ltd)
'10387611000001100,Lorazepam 1mg tablets (Arrow Generics Ltd)
'10545011000001105,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'10545211000001100,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'15171211000001103,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'15171311000001106,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'12533011000001103,Lorazepam 1mg tablets (Sandoz Ltd)
'12533111000001102,Lorazepam 1mg tablets (Sandoz Ltd)
'13403911000001105,Lorazepam 1mg tablets (Almus Pharmaceuticals Ltd)
'13404011000001108,Lorazepam 1mg tablets (Almus Pharmaceuticals Ltd)
'15434211000001100,Lorazepam 1mg tablets (Actavis UK Ltd)
'15434311000001108,Lorazepam 1mg tablets (Actavis UK Ltd)
'17568411000001109,Lorazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'17568511000001108,Lorazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'17938411000001106,Lorazepam 1mg tablets (Phoenix Healthcare Distribution Ltd)
'17938511000001105,Lorazepam 1mg tablets (Phoenix Healthcare Distribution Ltd)
'18589811000001109,Lorazepam 1mg tablets (DE Pharmaceuticals)
'18590111000001108,Lorazepam 1mg tablets (DE Pharmaceuticals)
'20324811000001104,Lorazepam 1mg tablets (Genesis Pharmaceuticals Ltd)
'20324911000001109,Lorazepam 1mg tablets (Genesis Pharmaceuticals Ltd)
'22073811000001109,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'22073911000001104,Lorazepam 1mg tablets (Waymade Healthcare Plc)
'24134311000001103,Lorazepam 1mg tablets (Morningside Healthcare Ltd)
'35957811000001107,Lorazepam 1mg tablets (Morningside Healthcare Ltd)
'24134411000001105,Lorazepam 1mg tablets (Morningside Healthcare Ltd)
'24370411000001108,Lorazepam 1mg tablets (DE Pharmaceuticals)
'24370511000001107,Lorazepam 1mg tablets (DE Pharmaceuticals)
'29896911000001107,Lorazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'29897011000001106,Lorazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'321295009,Lorazepam 2.5mg tablets
'1128211000001105,Lorazepam 2.5mg tablets
'24134811000001107,Lorazepam 2.5mg tablets
'771611000001105,Lorazepam 2.5mg tablets (A A H Pharmaceuticals Ltd)
'1859111000001104,Lorazepam 2.5mg tablets (A A H Pharmaceuticals Ltd)
'845311000001102,Lorazepam 2.5mg tablets (Genus Pharmaceuticals Ltd)
'1859311000001102,Lorazepam 2.5mg tablets (Genus Pharmaceuticals Ltd)
'478511000001108,Lorazepam 2.5mg tablets (Teva UK Ltd)
'1859711000001103,Lorazepam 2.5mg tablets (Teva UK Ltd)
'585511000001101,Lorazepam 2.5mg tablets (Kent Pharmaceuticals Ltd)
'1860011000001104,Lorazepam 2.5mg tablets (Kent Pharmaceuticals Ltd)
'4582311000001108,Lorazepam 2.5mg tablets (Kent Pharmaceuticals Ltd)
'115511000001108,Lorazepam 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
'1860611000001106,Lorazepam 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
'9481211000001102,Lorazepam 2.5mg tablets (Mylan)
'9481311000001105,Lorazepam 2.5mg tablets (Mylan)
'10389311000001100,Lorazepam 2.5mg tablets (Arrow Generics Ltd)
'10389511000001106,Lorazepam 2.5mg tablets (Arrow Generics Ltd)
'12533211000001108,Lorazepam 2.5mg tablets (Sandoz Ltd)
'12533311000001100,Lorazepam 2.5mg tablets (Sandoz Ltd)
'13403411000001102,Lorazepam 2.5mg tablets (Almus Pharmaceuticals Ltd)
'13403611000001104,Lorazepam 2.5mg tablets (Almus Pharmaceuticals Ltd)
'15108811000001102,Lorazepam 2.5mg tablets (Sigma Pharmaceuticals Plc)
'15108911000001107,Lorazepam 2.5mg tablets (Sigma Pharmaceuticals Plc)
'15434411000001101,Lorazepam 2.5mg tablets (Actavis UK Ltd)
'15434511000001102,Lorazepam 2.5mg tablets (Actavis UK Ltd)
'17938611000001109,Lorazepam 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
'17938711000001100,Lorazepam 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
'20325111000001105,Lorazepam 2.5mg tablets (Genesis Pharmaceuticals Ltd)
'20325211000001104,Lorazepam 2.5mg tablets (Genesis Pharmaceuticals Ltd)
'22074011000001101,Lorazepam 2.5mg tablets (Waymade Healthcare Plc)
'22074111000001100,Lorazepam 2.5mg tablets (Waymade Healthcare Plc)
'24134611000001108,Lorazepam 2.5mg tablets (Morningside Healthcare Ltd)
'35959111000001106,Lorazepam 2.5mg tablets (Morningside Healthcare Ltd)
'24135211000001107,Lorazepam 2.5mg tablets (Morningside Healthcare Ltd)
'24370611000001106,Lorazepam 2.5mg tablets (DE Pharmaceuticals)
'24370711000001102,Lorazepam 2.5mg tablets (DE Pharmaceuticals)
'321314006,Oxazepam 10mg tablets
'1217911000001108,Oxazepam 10mg tablets
'498511000001100,Oxazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'1928811000001109,Oxazepam 10mg tablets (A A H Pharmaceuticals Ltd)
'214711000001104,Oxazepam 10mg tablets (Actavis UK Ltd)
'1928911000001104,Oxazepam 10mg tablets (Actavis UK Ltd)
'616111000001109,Oxazepam 10mg tablets (Genus Pharmaceuticals Ltd)
'1929011000001108,Oxazepam 10mg tablets (Genus Pharmaceuticals Ltd)
'384111000001108,Oxazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'1929111000001109,Oxazepam 10mg tablets (Kent Pharmaceuticals Ltd)
'682511000001104,Oxazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'1929211000001103,Oxazepam 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'17950111000001102,Oxazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'17950211000001108,Oxazepam 10mg tablets (Phoenix Healthcare Distribution Ltd)
'19819411000001108,Oxazepam 10mg tablets (Almus Pharmaceuticals Ltd)
'19819511000001107,Oxazepam 10mg tablets (Almus Pharmaceuticals Ltd)
'21828411000001100,Oxazepam 10mg tablets (Waymade Healthcare Plc)
'21828511000001101,Oxazepam 10mg tablets (Waymade Healthcare Plc)
'29974111000001104,Oxazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'29974211000001105,Oxazepam 10mg tablets (Sigma Pharmaceuticals Plc)
'30069511000001106,Oxazepam 10mg tablets (DE Pharmaceuticals)
'30069611000001105,Oxazepam 10mg tablets (DE Pharmaceuticals)
'321315007,Oxazepam 15mg tablets
'1202211000001104,Oxazepam 15mg tablets
'647511000001106,Oxazepam 15mg tablets (A A H Pharmaceuticals Ltd)
'1929311000001106,Oxazepam 15mg tablets (A A H Pharmaceuticals Ltd)
'191811000001107,Oxazepam 15mg tablets (Actavis UK Ltd)
'1929411000001104,Oxazepam 15mg tablets (Actavis UK Ltd)
'500711000001102,Oxazepam 15mg tablets (Genus Pharmaceuticals Ltd)
'1929511000001100,Oxazepam 15mg tablets (Genus Pharmaceuticals Ltd)
'762211000001107,Oxazepam 15mg tablets (Kent Pharmaceuticals Ltd)
'1929611000001101,Oxazepam 15mg tablets (Kent Pharmaceuticals Ltd)
'37611000001102,Oxazepam 15mg tablets (Alliance Healthcare (Distribution) Ltd)
'1929711000001105,Oxazepam 15mg tablets (Alliance Healthcare (Distribution) Ltd)
'17950311000001100,Oxazepam 15mg tablets (Phoenix Healthcare Distribution Ltd)
'17950411000001107,Oxazepam 15mg tablets (Phoenix Healthcare Distribution Ltd)
'19819611000001106,Oxazepam 15mg tablets (Almus Pharmaceuticals Ltd)
'19819711000001102,Oxazepam 15mg tablets (Almus Pharmaceuticals Ltd)
'21828611000001102,Oxazepam 15mg tablets (Waymade Healthcare Plc)
'21828711000001106,Oxazepam 15mg tablets (Waymade Healthcare Plc)
'29974311000001102,Oxazepam 15mg tablets (Sigma Pharmaceuticals Plc)
'29974411000001109,Oxazepam 15mg tablets (Sigma Pharmaceuticals Plc)
'30069711000001101,Oxazepam 15mg tablets (DE Pharmaceuticals)
'30069811000001109,Oxazepam 15mg tablets (DE Pharmaceuticals)
'321190005,Zaleplon 5mg capsules
'1057711000001105,Zaleplon 5mg capsules
'846011000001109,Sonata 5mg capsules (Meda Pharmaceuticals Ltd)
'2155011000001105,Sonata 5mg capsules (Meda Pharmaceuticals Ltd)
'5413511000001109,Sonata 5mg capsules (Waymade Healthcare Plc)
'5413711000001104,Sonata 5mg capsules (Waymade Healthcare Plc)
'10471111000001104,Sonata 5mg capsules (Dowelhurst Ltd)
'10471211000001105,Sonata 5mg capsules (Dowelhurst Ltd)
'14004811000001105,Sonata 5mg capsules (DE Pharmaceuticals)
'14004911000001100,Sonata 5mg capsules (DE Pharmaceuticals)
'14370411000001109,Sonata 5mg capsules (Sigma Pharmaceuticals Plc)
'14370811000001106,Sonata 5mg capsules (Sigma Pharmaceuticals Plc)
'17454211000001103,Sonata 5mg capsules (Mawdsley-Brooks & Company Ltd)
'17454311000001106,Sonata 5mg capsules (Mawdsley-Brooks & Company Ltd)
'321191009,Zaleplon 10mg capsules
'1268911000001105,Zaleplon 10mg capsules
'435711000001108,Sonata 10mg capsules (Meda Pharmaceuticals Ltd)
'2155911000001109,Sonata 10mg capsules (Meda Pharmaceuticals Ltd)
'5413811000001107,Sonata 10mg capsules (Waymade Healthcare Plc)
'5414011000001104,Sonata 10mg capsules (Waymade Healthcare Plc)
'10471511000001108,Sonata 10mg capsules (Dowelhurst Ltd)
'10471611000001107,Sonata 10mg capsules (Dowelhurst Ltd)
'14005011000001100,Sonata 10mg capsules (DE Pharmaceuticals)
'14005211000001105,Sonata 10mg capsules (DE Pharmaceuticals)
'321104009,Clomethiazole 192mg capsules
'1004311000001107,Clomethiazole 192mg capsules
'297311000001106,Heminevrin 192mg capsules (AstraZeneca UK Ltd)
'2355211000001106,Heminevrin 192mg capsules (AstraZeneca UK Ltd)
'10541511000001100,Heminevrin 192mg capsules (Waymade Healthcare Plc)
'10541711000001105,Heminevrin 192mg capsules (Waymade Healthcare Plc)
'19309511000001106,Clomethiazole 192mg capsules (Cheplapharm Arzneimittel GmbH)
'19309611000001105,Clomethiazole 192mg capsules (Cheplapharm Arzneimittel GmbH)
'19471711000001104,Clomethiazole 192mg capsules (A A H Pharmaceuticals Ltd)
'19471811000001107,Clomethiazole 192mg capsules (A A H Pharmaceuticals Ltd)
'19489711000001107,Clomethiazole 192mg capsules (Alliance Healthcare (Distribution) Ltd)
'19489811000001104,Clomethiazole 192mg capsules (Alliance Healthcare (Distribution) Ltd)
'21022611000001103,Clomethiazole 192mg capsules (Waymade Healthcare Plc)
'21022711000001107,Clomethiazole 192mg capsules (Waymade Healthcare Plc)
'29789711000001102,Clomethiazole 192mg capsules (Sigma Pharmaceuticals Plc)
'29789811000001105,Clomethiazole 192mg capsules (Sigma Pharmaceuticals Plc)
'36088911000001104,Clomethiazole 157.5mg/5ml oral solution sugar free
'1208311000001105,Clomethiazole 157.5mg/5ml oral solution sugar free
'600511000001104,Heminevrin 250mg/5ml syrup (AstraZeneca UK Ltd)
'2355311000001103,Heminevrin 250mg/5ml syrup (AstraZeneca UK Ltd)
'22474211000001103,Clomethiazole 31.5mg/ml oral solution sugar free (Cheplapharm Arzneimittel GmbH)
'22474411000001104,Clomethiazole 31.5mg/ml oral solution sugar free (Cheplapharm Arzneimittel GmbH)
'22582211000001108,Clomethiazole 31.5mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
'22582311000001100,Clomethiazole 31.5mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
'22582711000001101,Clomethiazole 31.5mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)
'22582911000001104,Clomethiazole 31.5mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)
'134411000001102,Phenergan 5mg/5ml elixir (Sanofi)
'2355511000001109,Phenergan 5mg/5ml elixir (Sanofi)
'320775009,Promethazine hydrochloride 10mg tablets
'1280411000001102,Promethazine hydrochloride 10mg tablets
'7999711000001101,Promethazine hydrochloride 10mg tablets
'547211000001103,Phenergan 10mg tablets (Sanofi)
'2357411000001104,Phenergan 10mg tablets (Sanofi)
'21697311000001106,Promethazine hydrochloride 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'28463611000001103,Promethazine hydrochloride 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'21697411000001104,Promethazine hydrochloride 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'28379011000001108,Promethazine hydrochloride 10mg tablets (A A H Pharmaceuticals Ltd)
'28379111000001109,Promethazine hydrochloride 10mg tablets (A A H Pharmaceuticals Ltd)
'30079911000001107,Promethazine hydrochloride 10mg tablets (DE Pharmaceuticals)
'30080011000001108,Promethazine hydrochloride 10mg tablets (DE Pharmaceuticals)
'32808511000001107,Promethazine hydrochloride 10mg tablets (Genesis Pharmaceuticals Ltd)
'32808611000001106,Promethazine hydrochloride 10mg tablets (Genesis Pharmaceuticals Ltd)
'320776005,Promethazine hydrochloride 25mg tablets
'1152811000001105,Promethazine hydrochloride 25mg tablets
'1280311000001109,Promethazine hydrochloride 25mg tablets
'8001511000001107,Promethazine hydrochloride 25mg tablets
'8001611000001106,Promethazine hydrochloride 25mg tablets
'227211000001108,Phenergan Nightime 25mg tablets (Sanofi)
'2357511000001100,Phenergan Nightime 25mg tablets (Sanofi)
'351811000001108,Phenergan 25mg tablets (Sanofi)
'2357611000001101,Phenergan 25mg tablets (Sanofi)
'19619311000001108,Phenergan 25mg tablets (DE Pharmaceuticals)
'19619411000001101,Phenergan 25mg tablets (DE Pharmaceuticals)
'19858911000001103,Phenergan 25mg tablets (Lexon (UK) Ltd)
'19859011000001107,Phenergan 25mg tablets (Lexon (UK) Ltd)
'35427811000001109,Promethazine hydrochloride 25mg tablets (A A H Pharmaceuticals Ltd)
'35427911000001104,Promethazine hydrochloride 25mg tablets (A A H Pharmaceuticals Ltd)
'35773011000001103,Promethazine hydrochloride 25mg tablets (Teva UK Ltd)
'35773111000001102,Promethazine hydrochloride 25mg tablets (Teva UK Ltd)
'36468711000001106,Promethazine hydrochloride 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'36468811000001103,Promethazine hydrochloride 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'321122007,Lormetazepam 500microgram tablets
'998811000001104,Lormetazepam 500microgram tablets
'1025311000001104,Lormetazepam 500microgram tablets
'898611000001106,Lormetazepam 500microgram tablets (A A H Pharmaceuticals Ltd)
'2369811000001100,Lormetazepam 500microgram tablets (A A H Pharmaceuticals Ltd)
'3997011000001102,Lormetazepam 500microgram tablets (A A H Pharmaceuticals Ltd)
'195911000001100,Lormetazepam 500microgram tablets (Mylan)
'2369911000001105,Lormetazepam 500microgram tablets (Mylan)
'2370011000001109,Lormetazepam 500microgram tablets (Mylan)
'327611000001101,Lormetazepam 500microgram tablets (Thornton & Ross Ltd)
'2370111000001105,Lormetazepam 500microgram tablets (Thornton & Ross Ltd)
'635811000001103,Lormetazepam 500microgram tablets (Kent Pharmaceuticals Ltd)
'2370211000001104,Lormetazepam 500microgram tablets (Kent Pharmaceuticals Ltd)
'2370311000001107,Lormetazepam 500microgram tablets (Kent Pharmaceuticals Ltd)
'437911000001100,Lormetazepam 500microgram tablets (Alliance Healthcare (Distribution) Ltd)
'2370411000001100,Lormetazepam 500microgram tablets (Alliance Healthcare (Distribution) Ltd)
'2370511000001101,Lormetazepam 500microgram tablets (Alliance Healthcare (Distribution) Ltd)
'15434611000001103,Lormetazepam 500microgram tablets (Actavis UK Ltd)
'15434711000001107,Lormetazepam 500microgram tablets (Actavis UK Ltd)
'17527111000001109,Lormetazepam 500microgram tablets (Teva UK Ltd)
'17527311000001106,Lormetazepam 500microgram tablets (Teva UK Ltd)
'17938811000001108,Lormetazepam 500microgram tablets (Phoenix Healthcare Distribution Ltd)
'17938911000001103,Lormetazepam 500microgram tablets (Phoenix Healthcare Distribution Ltd)
'20535911000001107,Lormetazepam 500microgram tablets (Almus Pharmaceuticals Ltd)
'20536011000001104,Lormetazepam 500microgram tablets (Almus Pharmaceuticals Ltd)
'21788111000001104,Lormetazepam 500microgram tablets (Waymade Healthcare Plc)
'21788211000001105,Lormetazepam 500microgram tablets (Waymade Healthcare Plc)
'22806311000001101,Lormetazepam 500microgram tablets (Zentiva)
'22806411000001108,Lormetazepam 500microgram tablets (Zentiva)
'24370811000001105,Lormetazepam 500microgram tablets (DE Pharmaceuticals)
'24370911000001100,Lormetazepam 500microgram tablets (DE Pharmaceuticals)
'29897511000001103,Lormetazepam 500microgram tablets (Sigma Pharmaceuticals Plc)
'29897611000001104,Lormetazepam 500microgram tablets (Sigma Pharmaceuticals Plc)
'321123002,Lormetazepam 1mg tablets
'1283211000001106,Lormetazepam 1mg tablets
'1189811000001107,Lormetazepam 1mg tablets
'877811000001100,Lormetazepam 1mg tablets (A A H Pharmaceuticals Ltd)
'2370611000001102,Lormetazepam 1mg tablets (A A H Pharmaceuticals Ltd)
'3997511000001105,Lormetazepam 1mg tablets (A A H Pharmaceuticals Ltd)
'529711000001100,Lormetazepam 1mg tablets (Mylan)
'2370711000001106,Lormetazepam 1mg tablets (Mylan)
'2370811000001103,Lormetazepam 1mg tablets (Mylan)
'171511000001102,Lormetazepam 1mg tablets (Thornton & Ross Ltd)
'2370911000001108,Lormetazepam 1mg tablets (Thornton & Ross Ltd)
'918311000001109,Lormetazepam 1mg tablets (Kent Pharmaceuticals Ltd)
'2371011000001100,Lormetazepam 1mg tablets (Kent Pharmaceuticals Ltd)
'2371111000001104,Lormetazepam 1mg tablets (Kent Pharmaceuticals Ltd)
'274511000001102,Lormetazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'2371211000001105,Lormetazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'2371311000001102,Lormetazepam 1mg tablets (Alliance Healthcare (Distribution) Ltd)
'13925911000001100,Lormetazepam 1mg tablets (Teva UK Ltd)
'13926111000001109,Lormetazepam 1mg tablets (Teva UK Ltd)
'15047511000001101,Lormetazepam 1mg tablets (Waymade Healthcare Plc)
'15047611000001102,Lormetazepam 1mg tablets (Waymade Healthcare Plc)
'15434811000001104,Lormetazepam 1mg tablets (Actavis UK Ltd)
'15434911000001109,Lormetazepam 1mg tablets (Actavis UK Ltd)
'16510611000001109,Lormetazepam 1mg tablets (Mawdsley-Brooks & Company Ltd)
'16510811000001108,Lormetazepam 1mg tablets (Mawdsley-Brooks & Company Ltd)
'17568611000001107,Lormetazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'17568711000001103,Lormetazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'17572211000001102,Lormetazepam 1mg tablets (Necessity Supplies Ltd)
'17572411000001103,Lormetazepam 1mg tablets (Necessity Supplies Ltd)
'17939011000001107,Lormetazepam 1mg tablets (Phoenix Healthcare Distribution Ltd)
'17939111000001108,Lormetazepam 1mg tablets (Phoenix Healthcare Distribution Ltd)
'20536111000001103,Lormetazepam 1mg tablets (Almus Pharmaceuticals Ltd)
'20536211000001109,Lormetazepam 1mg tablets (Almus Pharmaceuticals Ltd)
'21788311000001102,Lormetazepam 1mg tablets (Waymade Healthcare Plc)
'21788411000001109,Lormetazepam 1mg tablets (Waymade Healthcare Plc)
'22810111000001103,Lormetazepam 1mg tablets (Zentiva)
'22810211000001109,Lormetazepam 1mg tablets (Zentiva)
'24371011000001108,Lormetazepam 1mg tablets (DE Pharmaceuticals)
'24371111000001109,Lormetazepam 1mg tablets (DE Pharmaceuticals)
'29897811000001100,Lormetazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'29897911000001105,Lormetazepam 1mg tablets (Sigma Pharmaceuticals Plc)
'321285002,Hydroxyzine 10mg tablets
'1184911000001103,Hydroxyzine 10mg tablets
'34787611000001101,Hydroxyzine 10mg tablets (Creo Pharma Ltd)
'34787711000001105,Hydroxyzine 10mg tablets (Creo Pharma Ltd)
'34894411000001107,Hydroxyzine 10mg tablets (A A H Pharmaceuticals Ltd)
'34894511000001106,Hydroxyzine 10mg tablets (A A H Pharmaceuticals Ltd)
'34905911000001105,Hydroxyzine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'34906011000001102,Hydroxyzine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
'321286001,Hydroxyzine 25mg tablets
'1153111000001109,Hydroxyzine 25mg tablets
'1241211000001101,Hydroxyzine 25mg tablets
'34788211000001104,Hydroxyzine 25mg tablets (Creo Pharma Ltd)
'34788311000001107,Hydroxyzine 25mg tablets (Creo Pharma Ltd)
'34894611000001105,Hydroxyzine 25mg tablets (A A H Pharmaceuticals Ltd)
'34894711000001101,Hydroxyzine 25mg tablets (A A H Pharmaceuticals Ltd)
'34906111000001101,Hydroxyzine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'34906211000001107,Hydroxyzine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
'36043611000001106,Hydroxyzine 25mg tablets (Medreich Plc)
'36043711000001102,Hydroxyzine 25mg tablets (Medreich Plc)
'36057911000001106,Hydroxyzine 10mg/5ml oral solution
'967711000001108,Hydroxyzine 10mg/5ml oral solution
'34345111000001109,Hydroxyzine 10mg/5ml oral solution
'34345211000001103,Hydroxyzine 10mg/5ml oral solution (Special Order)
'34345311000001106,Hydroxyzine 10mg/5ml oral solution (Special Order)
'35915311000001101,Temazepam 10mg/5ml oral solution sugar free
'1177711000001103,Temazepam 10mg/5ml oral solution sugar free
'1233311000001109,Temazepam 10mg/5ml oral solution sugar free
'909511000001106,Temazepam 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
'2435311000001105,Temazepam 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
'29711000001100,Temazepam 10mg/5ml oral solution sugar free (Kent Pharmaceuticals Ltd)
